Area,Company,Location,Survey,Contact,In Service,Work Order,Technician,Date,Target Current,AF Taps/Rheo,AF Voltage,AF  Amps,AF Circuit #1 Amps,AF Circuit #2 Amps,AF Circuit #3 Amps,AL Taps/Rheo,AL Voltage,AL Amps,AL Circuit #1 Amps,AL Circuit #2 Amps,AL Circuit #3 Amps,Circuit Resistance,Deficiency,In target,Materials Used,Notes,Model,Serial No,Rectifier 1=poor 5= good ,Anodes 1=poor 5= good,Requires Replacement,Rectifie Anode info
Drayton Valley,Obsidian,01-25-52-13 W5M,Carrot Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,02-18-52-11 W5M,Carrot Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,02-21-52-12 W5M,Carrot Creek,K Titanich,True ,220254572,LG,18-Oct-22,2.0 - 4.0,A3,3.9,2.7,,,,A3,3.9,2.7,,,,1.44,FALSE,TRUE,,,,,3,4,FALSE,Older rectifier protecting OOS F/L's 
Drayton Valley,Obsidian,08-33-51-11 W5M,Carrot Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,10-35-52-13 W5M,Carrot Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,14-03-52-13 W5M,Carrot Creek,K Titanich,TRUE,220254572,LG,18-Oct-22,4.0 - 6.0,A4,6.8,5,,,,A4,6.8,5,,,,1.36,FALSE,TRUE,,,,,3,4,FALSE,Older rectifier protecting OOS Site and F/L's 
Drayton Valley,Obsidian,08-15-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,8.0 - 10.0,B4,17.6,9.1,,,,B4,17.6,9.1,,,,1.93,FALSE,TRUE,,Key 2396,,,2,3,FALSE,"Older rectifier - active sites, Anodes depleting"
Drayton Valley,Obsidian,08-31-49-08 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,6.5 - 7.5,B4,0,0,,,,B4,0,0,,,,--,TRUE,FALSE,,"April, July  2022, Site vandalized. Structure cable cut. No AC supply to site with blank Fortis meter. Obsidian in review process for possible reactivation",,,1,?,FALSE,"Rectifier gutted/destroyed by vandals, OOS site, OBE to confirm F/L's need protection or will they be abdn"
Drayton Valley,Obsidian,09-18-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,8.0 - 10.0,B3,16.1,10,,,,B3,16.1,10,,,,1.61,FALSE,TRUE,,,,,5,3,FALSE,Rectifier newer
Drayton Valley,Obsidian,11-03-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,11.0 - 13.0,B2,19,13.1,,,,B2,19,13.1,,,,1.45,FALSE,FALSE,,,,,5,4,FALSE,Rectifier newer
Drayton Valley,Obsidian,11-22-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,15.0 - 20.0,C4,23.9,15.9,,,,C4,23.9,15.9,,,,1.5,FALSE,TRUE,,,,,2,3,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,13-16-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,7.0 - 8.0,C5,13.1,7.1,,,,C5,13.1,7.1,,,,1.85,FALSE,TRUE,,,,,3,3,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,14-27-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,5.0  - 7.0,A4,7.2,5.9,,,,A4,7.2,5.9,,,,1.22,FALSE,TRUE,,,,,3,4,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,14-30-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,9.0 - 11.0,C2,11.8,9.9,,,,C2,11.8,9.9,,,,1.19,FALSE,TRUE,,,,,5,4,FALSE,Rectifier newer
Drayton Valley,Obsidian,16-26-49-09 W5M,Cynthia East,K Titanich,FALSE,220167879,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,16-29-49-09 W5M,Cynthia East,K Titanich,TRUE,220167879,LG,19-Oct-22,7.0 - 8.0,B2,7.8,4.1,,,,B2,7.8,4.1,,,,1.9,FALSE,FALSE,,,,,3,3,FALSE,"Older rectifier - active sites, Anodes depleting"
Drayton Valley,Obsidian,04-05-49-09 W5M ,Cynthia South,K Titanich,TRUE,220254591,LG,19-Oct-22,4.0 - 6.0,B2,8.5,5.8,,,,B2,8.4,5.5,,,,1.53,FALSE,TRUE,,,,,5,4,FALSE,Rectifier newer
Drayton Valley,Obsidian,06-06-49-09 W5M,Cynthia South,K Titanich,TRUE,220254591,LG,19-Oct-22,11.0 - 13.0,A5,10.9,12,,,,A5,10.9,12,,,,0.91,FALSE,TRUE,,,,,5,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,09-07-49-09 W5M,Cynthia South,K Titanich,TRUE,220254591,LG,19-Oct-22,7.0 - 9.0,A4,9.1,8.2,,,,A4,9.1,8.2,,,,1.11,FALSE,TRUE,,,,,5,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,04-27-49-10 W5M,Cynthia West,K Titanich,TRUE,220254606,LG,19-Oct-22,4.0 - 5.0,A4,6.5,4.1,,,,A4,6.5,4.1,,,,1.59,FALSE,TRUE,,,,,4,4,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,05-25-49-10 W5M,Cynthia West,K Titanich,TRUE,220254606,LG,19-Oct-22,3.5 - 4.5,52%,19.5,3.9,,,,52%,19.5,3.9,,,,5,FALSE,TRUE,,,,,3,1,FALSE,"Older rectifier - active sites, Anodes depleting"
Drayton Valley,Obsidian,07-11-49-10 W5M,Cynthia West,K Titanich,TRUE,220254606,LG,19-Oct-22,5.0 - 6.0,A5,12.2,4.9,,,,A5,12.2,4.9,,,,2.49,FALSE,FALSE,,,,,2,2,FALSE,"Older rectifier/poor - active sites, Anodes depleting"
Drayton Valley,Obsidian,09-09-49-10 W5M,Cynthia West,K Titanich,TRUE,220254606,LG,19-Oct-22,3.5 - 4.5,A5,9.2,0,,,,A4,6.7,3.8,,,,1.76,TRUE,TRUE,,"AF - Oct 2022 Volts and no Amps, CTL tested all and found poor anode post connection, AL - CTL repaired connection and turned rectifier down slightly. ",,,5,2,FALSE,"Rectifier newer fm 16-04-48-10, Anodes depleting "
Drayton Valley,Obsidian,10-14-49-10 W5M,Cynthia West,K Titanich,TRUE,220254606,LG,19-Oct-22,2.5 - 3.5,C2,7.5,3,,,,C2,7.5,3,,,,2.5,FALSE,TRUE,,,,,5,3,FALSE,"Rectifier newer, Anodes depleting "
Drayton Valley,Obsidian,06-11-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,7.0 - 8.0,B5,12.9,8.9,,,,B4,11.5,7.3,,,,1.58,FALSE,TRUE,,Oct 2022 - Adjust closer to target,,,2,3,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,06-16-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,8.0 - 10.0,C1,12.8,9.7,7.7,2,,C1,12.8,9.7,7.7,2,,1.32,FALSE,TRUE,,,,,2,4,FALSE,"Older rectifier - active sites, Anodes fair, Can this be put OOS with 08-16-48-10 protection?"
Drayton Valley,Obsidian,06-23-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,10.0 - 12.0,B2,16.4,12.1,,,,B2,16.4,12.1,,,,1.36,FALSE,FALSE,,,,,4,4,FALSE,"Older rectifier - OOS site, flow thru only-also protected by 08-15, Anodes fair"
Drayton Valley,Obsidian,08-04-49-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,5.0 - 7.0,B2,9.6,6.2,,,,B2,9.6,6.2,,,,1.55,FALSE,TRUE,,,,,5,4,FALSE,"Rectifier newer - active sites, Anodes fair"
Drayton Valley,Obsidian,08-13-48-10 W5M,Paddy Creek,K Titanich,FALSE,220254575,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,08-15-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,10.0 - 12.0,B1,10.7,9.9,,,,B1,10.7,9.9,,,,1.08,FALSE,FALSE,,,,,3,5,FALSE,Older rectifier - active sites
Drayton Valley,Obsidian,08-16-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,7.0 - 9.0,B5,39.7,4.7,,,,C1,43.8,5.1,,,,8.59,FALSE,FALSE,,Oct 2022 - Adjust closer to target,,,4,1,FALSE,"Older rectifier - active sites, Anodes depleted "
Drayton Valley,Obsidian,08-33-48-10W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,14.0- 16.0,B3,13.8,14.8,,,,B3,13.8,14.8,,,,0.93,FALSE,TRUE,,,,,4,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,08-34-48-10 W5M,Paddy Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,09-09-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,10.0 - 12.0,B1,11,10.8,,,,B1,11,10.8,,,,1.02,FALSE,TRUE,,,,,4,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,11-20-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,7.0 - 9.0,C5,26.8,7.9,,,,C5,26.8,7.9,,,,3.39,FALSE,TRUE,,,,,2,2,FALSE,"Older rectifier/poor - active sites, Anodes depleting"
Drayton Valley,Obsidian,11-26-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,10.0 - 12.0,B5,14.2,12,,,,B5,14.2,12,,,,1.18,FALSE,TRUE,,,,,5,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,14-16-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,7.0 - 9.0,B4,9.9,8.1,,,,B4,9.9,8.1,,,,1.22,FALSE,TRUE,,,,,5,5,FALSE,"Newer rectifier - active sites, Anodes fair, Can this be put OOS with 08-16-48-10 protection?"
Drayton Valley,Obsidian,14-35-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,28.0 - 30.0,B2,16.1,28.8,,,,B2,16.1,28.8,,,,0.56,FALSE,TRUE,,,,,5,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,16-04-48-10 W5M,Paddy Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,16-10-48-10 W5M,Paddy Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,16-14-48-10 W5M,Paddy Creek,K Titanich,FALSE,,,,,,,,,,,,,,,,,--,FALSE,,,,,,,,FALSE,
Drayton Valley,Obsidian,16-27-48-10 W5M,Paddy Creek,K Titanich,TRUE,220254575,LG,20-Oct-22,10.0 - 12.0,B4,13.9,8.7,2.9,6,,B5,15.2,9.9,3.2,6.7,,1.54,FALSE,FALSE,,Oct 2022 - Adjust closer to target,,,3,3,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,05-33-48-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,4.0 - 5.0,B2,8.3,5.1,,,,B2,8.3,5.1,,,,1.63,FALSE,FALSE,,,,,2,5,FALSE,"Older rectifier - active sites, Anodes fair, Can this be put OOS with 08-32-48-09 protection?"
Drayton Valley,Obsidian,06-36-48-10 W5M,Panorama,K Titanich,TRUE,220254612,LG,19-Oct-22,11.0 - 13.0,B1,17.7,12,,,,B1,17.7,12,,,,1.48,FALSE,TRUE,,,,,2,4,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,08-05-49-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,11.0 - 12.0,D4,25.1,7.4,,,,D4,25.1,7.4,,,,3.39,TRUE,FALSE,,Oct 2022 - Suspect anodes are getting spent. OBE/CTL to review and confirm if this rectifier may be put OOS with support from 08-32 rectifier ,,,5,1,FALSE,"New rectifier - active sites, Anodes poor, Can this be put OOS with 08-32-48-09 protection?"
Drayton Valley,Obsidian,08-20-48-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,8.0 - 10.0,B2,13,8.2,,,,B2,13,8.2,,,,1.59,FALSE,TRUE,,,,,4,3,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,08-31-48-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,19-Oct-22,11.0 - 13.0,A5,14.4,11.8,,,,A5,14.4,11.8,,,,1.22,FALSE,TRUE,,,,,2,4,FALSE,"Older rectifier - active sites, Anodes fair"
Drayton Valley,Obsidian,08-32-48-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,12.0 - 13.0,B2,12.8,11.4,,,,B2,12.8,11.4,,,,1.12,FALSE,FALSE,,Next setting higher is 14A,,,5,5,FALSE,Rectifier newer
Drayton Valley,Obsidian,10-29-48-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,10.0 - 12.0,C4,19.9,10.9,,,,C4,19.9,10.9,,,,1.83,FALSE,TRUE,,,,,1,3,FALSE,"Older rectifier - active sites, Anodes fair, Can this be put OOS with 08-32-48-09 protection?"
Drayton Valley,Obsidian,14-24-48-10 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,10.0 - 13.0,A5,14.6,10.9,,,,A5,14.6,10.9,,,,1.34,TRUE,TRUE,,Jan 2022 - Rectifier wooden mount post is rotted Off.  Obsidian to install stand or replace post ,,,1,4,FALSE,"Older rectifier/poor - active sites, Anodes fair"
Drayton Valley,Obsidian,16-19-48-09 W5M,Panorama,K Titanich,TRUE,220254612,LG,20-Oct-22,9.0 - 11.0,B2,12.7,9.5,,,,B2,12.7,9.5,,,,1.34,FALSE,TRUE,,"July 2022, Adjust closer to target",,,5,4,FALSE,Rectifier newer
Drayton Valley,Obsidian,04-36-49-11 W5M,PCU 11,K Titanich,False ,,,,,,,,,,,,,,,,,--,FALSE,,,Operated by Vermilion Now ,,,,,FALSE,
Drayton Valley,Obsidian,06-02-50-10 W5M,PCU 11,K Titanich,False ,,,,,,,,,,,,,,,,,--,FALSE,,,Operated by Vermilion Now ,,,,,FALSE,
Drayton Valley,Obsidian,06-08-50-10 W5M,PCU 11,K Titanich,False ,,,,,,,,,,,,,,,,,--,FALSE,,,Operated by Vermilion Now ,,,,,FALSE,
Drayton Valley,Obsidian,06-23-49-11 W5M,PCU 11,K Titanich,False ,,,,,,,,,,,,,,,,,--,FALSE,,,Operated by Vermilion Now ,,,,,FALSE,
Drayton Valley,Obsidian,11-33-49-10 W5M,PCU 11,K Titanich,False ,,,,,,,,,,,,,,,,,--,FALSE,,,Operated by Vermilion Now ,,,,,FALSE,
Drayton Valley,Obsidian,16-17-49-10 W5M,PCU 11,K Titanich,False ,,,,,,,,,,,,,,,,,--,FALSE,,,Operated by Vermilion Now ,,,,,FALSE,
